"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",0.175431208736255,5.22850655458301,3.96002632799782,0.168941434551564,6.7593653991837,0.224325523833919,0.0134682225044816,NA
"Test set",-8.68586255858958,14.4613444430972,13.1168529230268,-10.9516106236772,14.845452725281,0.74303670210651,0.746516654097118,2.80411939969008
